Sr No,Service,Code,Type,Disc,BA Disc,Disc Type,Start With,Min Len,Max Len,Min Amt,Max Amt,Remarks,Status
133,PAYTM PAYMENTS BANK FASTAG,PBT,Loan Installment,0,0,%,*,0,0,1,10000,,Active
134,INDIAN HIGHWAYS MANAGEMENT COMPANY FASTAG,AFT,Loan Installment,0,0,%,*,0,0,1,10000,,Active
135,ICICI BANK FASTAG,ICT,Loan Installment,0,0,%,*,0,0,1,10000,,Active
136,BANK OF BARODA FASTAG,BBT,Loan Installment,0,0,%,*,0,0,1,10000,,Active
137,NETPLUS BROADBAND,NPB,Broadband Bill,0,0,%,*,0,0,1,10000,,Active
138,AXIS BANK FASTAG,AXF,Loan Installment,0,0,%,*,0,0,1,10000,,Active
139,KOTAK MAHINDRA BANK - FASTAG,KMF,Loan Installment,0,0,%,*,0,0,1,10000,,Active
140,EQUITAS FASTAG RECHARGE,EQF,Loan Installment,0,0,%,*,0,0,1,10000,,Active
141,HDFC BANK - FASTAG,HDF,Loan Installment,0,0,%,*,0,0,1,10000,,Active
142,IDFC FIRST BANK - FASTAG,IFF,Loan Installment,0,0,%,*,0,0,1,10000,,Active
143,HINDUSTAN PETROLEUM CORPORATION LTD (HPCL),I,GAS Bill,0,0,%,*,0,0,1,49999,,Active
